variable,generation,method,slope,p_value,r_squared,n_years,significance
liberalism_index,1st Generation,weighted_linear,0.01997737969228519,0.01894810680280811,0.6283964926970959,8,*
liberalism_index,2nd Generation,weighted_linear,-0.010117004390743194,0.009086698840286773,0.7052265267477991,8,**
liberalism_index,3rd+ Generation,weighted_linear,-0.009872974504176554,0.19123178971822513,0.2655269557014074,8,ns
restrictionism_index,1st Generation,weighted_linear,0.0060474766332998834,0.10651173912453586,0.3287651164836134,9,ns
restrictionism_index,2nd Generation,weighted_linear,-0.007419297952673112,0.0860299954975501,0.3628852689243098,9,ns
restrictionism_index,3rd+ Generation,weighted_linear,0.0025575682547452788,0.7587510688830733,0.016933197129545666,8,ns
legalization_support,1st Generation,weighted_linear,-0.15244392905514265,0.0025456692383550674,0.9672063108363993,5,**
legalization_support,2nd Generation,weighted_linear,-0.1988155580048503,0.0052992387854369615,0.9467612814144967,5,**
legalization_support,3rd+ Generation,weighted_linear,-0.17367494640499057,0.008498570482095048,0.9273542245617103,5,**
daca_support,1st Generation,weighted_linear,-0.30654517046283863,0.11749942218244382,0.7788072698483206,4,ns
daca_support,2nd Generation,weighted_linear,-0.10299773197908296,0.41057664856485365,0.3474198872170399,4,ns
daca_support,3rd+ Generation,weighted_linear,-0.15242508476207972,0.4568143300700419,0.2950506720172571,4,ns
deportation_policy_support,1st Generation,weighted_linear,0.03482060584206372,0.05669382721045427,0.9920902471060858,3,ns
deportation_policy_support,2nd Generation,weighted_linear,-2.8850417163616893e-5,0.9754958477583586,0.001480828041612812,3,ns
deportation_policy_support,3rd+ Generation,weighted_linear,0.026447464200130142,0.16222720128828966,0.9364572229829677,3,ns
border_security_support,1st Generation,weighted_linear,0.03383322155440521,0.1492346770930387,0.9460477460124361,3,ns
border_security_support,2nd Generation,weighted_linear,0.024215478800689434,0.010090984456336934,0.9997487706030064,3,*
border_security_support,3rd+ Generation,weighted_linear,0.052148488789927123,0.31666414662880726,0.7723228373480863,3,ns
