generation_label,n_years,variance,sd,range,variable
1st Generation,8,0.035062214094813714,0.18724906967676425,0.6224639852347059,liberalism_index
2nd Generation,8,0.012373269178701764,0.11123519757119041,0.31825182148516207,liberalism_index
3rd+ Generation,8,0.02217077377359592,0.14889853516269366,0.48464671795373254,liberalism_index
1st Generation,9,0.007124548485703281,0.0844070404984281,0.2347207046912619,restrictionism_index
2nd Generation,9,0.00928536457195361,0.09636059657325503,0.2699164845861504,restrictionism_index
3rd+ Generation,8,0.04018218334825482,0.20045494094248417,0.6256833358124106,restrictionism_index
1st Generation,5,2.418420536555091,1.5551271769714177,2.9402928586182284,legalization_support
2nd Generation,5,3.0650633430523637,1.7507322305402284,3.4699320418061377,legalization_support
3rd+ Generation,5,2.80498479302499,1.6748088825370464,3.326355907358546,legalization_support
1st Generation,4,2.147056740861943,1.4652838431041075,3.2588057040998217,daca_support
2nd Generation,4,2.6840606060451235,1.6383102899161452,3.5961091753774683,daca_support
3rd+ Generation,4,2.4868482626235697,1.5769744013849971,3.509485094850948,daca_support
1st Generation,2,0.0491332584788496,0.2216602320644134,0.313474906424261,border_wall_support
2nd Generation,2,2.1568047337278321e-4,0.014686063916951445,0.020769230769230873,border_wall_support
3rd+ Generation,2,0.006371114180197803,0.07981925945658605,0.11288147926208092,border_wall_support
1st Generation,3,0.05461993400794075,0.23370907985771702,0.41256675115068253,deportation_policy_support
2nd Generation,3,7.36974447713822e-4,0.0271472733016379,0.04722141402385782,deportation_policy_support
3rd+ Generation,3,0.02823341434988908,0.16802801656238486,0.3339085418464194,deportation_policy_support
1st Generation,3,0.05335181888228411,0.23098012659595654,0.40739368691810895,border_security_support
2nd Generation,3,0.02813816552814249,0.16774434574119776,0.2905562199154488,border_security_support
3rd+ Generation,3,0.12744712497791558,0.3569973739089905,0.6934530490086046,border_security_support
