survey_year,total_respondents,valid_generation,gen_1,gen_2,gen_3,liberalism_data,restrictionism_data,concern_data,has_generation,has_liberalism,has_restrictionism,has_concern
2002,4213,2902,2014,526,251,4087,3906,0,TRUE,TRUE,TRUE,FALSE
2004,2288,0,0,0,0,2208,0,0,FALSE,TRUE,FALSE,FALSE
2006,2000,0,0,0,0,1933,0,0,FALSE,TRUE,FALSE,FALSE
2007,2000,0,0,0,0,0,1832,1979,FALSE,FALSE,TRUE,TRUE
2008,2015,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2009,2012,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2010,1375,0,0,0,0,1304,1367,1360,FALSE,TRUE,TRUE,TRUE
2011,1220,0,0,0,0,1194,1199,0,FALSE,TRUE,TRUE,FALSE
2012,1765,0,0,0,0,1724,1733,0,FALSE,TRUE,TRUE,FALSE
2014,1520,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
2015,1500,1467,868,369,145,0,0,0,TRUE,FALSE,FALSE,FALSE
2016,1507,1491,818,300,373,0,1481,0,TRUE,FALSE,TRUE,FALSE
2018,1501,1482,759,318,405,1442,1469,1483,TRUE,TRUE,TRUE,TRUE
2021,3375,3214,1477,931,806,3355,3339,3346,TRUE,TRUE,TRUE,TRUE
2022,7647,3007,1031,923,622,7553,7578,0,TRUE,TRUE,TRUE,FALSE
2023,5078,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
