survey_year,total_respondents,generation_coverage,gen_1_2_3,place_birth_coverage,parent_nativity_coverage,liberalism_valid,restrictionism_valid,concern_valid
2002,4213,2902,2902,2929,0,4087,3906,0
2004,2288,2286,2286,2286,1012,2208,0,0
2007,2000,1996,1996,1996,1984,0,1832,1979
2008,2015,2013,2013,2013,0,0,0,0
2009,2012,2010,2010,2010,0,0,0,0
2010,1375,7,7,7,0,1304,1367,1360
2011,1220,7,7,7,1157,1194,1199,0
2012,1765,9,9,9,1166,1724,1733,0
2015,1500,0,0,0,0,0,0,0
2016,1507,5,5,5,0,0,1481,0
2018,1501,0,0,0,0,1442,1469,1483
2021,3375,3230,3230,3230,1139,3355,3339,3346
2022,7647,7606,7606,7606,791,7553,7578,0
2023,5078,0,0,0,1631,0,0,0
