survey_year,legalization_support_n,daca_support_n,immigrants_strengthen_n,immigration_level_opinion_n,border_wall_support_n,deportation_policy_support_n,border_security_support_n,immigration_importance_n,deportation_worry_n,liberalism_components_avg,restrictionism_components_avg
2002,4087,0,0,3906,0,0,0,0,0,0.9700925706147638,0.9271303109423213
2004,2208,0,0,0,0,0,0,0,0,0.965034965034965,0
2007,0,0,0,1832,0,0,0,0,1979,0,0.916
2008,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,1304,0,0,0,1296,1289,1293,1352,1360,0.9483636363636364,3.8036363636363637
2011,0,1194,0,0,0,0,0,1199,0,0.978688524590164,0.9827868852459016
2012,0,1724,0,0,0,0,0,1733,0,0.976770538243626,0.9818696883852691
2015,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,1481,0,0,0.9827471798274718
2018,0,1442,0,1297,1400,0,0,0,1483,0.960692871419054,1.7968021319120586
2021,3339,3339,0,0,0,3317,3326,0,3346,1.9786666666666666,1.9682962962962962
2022,7553,0,0,0,0,7526,7566,0,0,0.9877075977507519,1.9735844121877861
2023,0,0,0,0,0,0,0,0,0,0,0
