survey_year,immigrant_generation,count,liberalism_available,restrictionism_available,concern_available
2002,1,2014,1974,1866,0
2002,2,526,513,496,0
2002,3,362,348,342,0
2004,1,1291,1254,0,0
2004,2,693,662,0,0
2004,3,302,290,0,0
2007,1,1312,0,1198,1294
2007,2,337,0,309,336
2007,3,347,0,322,345
2008,1,1302,0,0,0
2008,2,711,0,0,0
2009,1,931,0,0,0
2009,2,1079,0,0,0
2010,1,1,1,1,1
2010,2,6,6,6,6
2011,1,1,1,1,0
2011,2,3,3,3,0
2011,3,3,3,3,0
2012,1,1,1,1,0
2012,2,8,8,8,0
2016,2,5,0,5,0
2021,1,3084,3071,3056,3062
2021,2,21,21,21,21
2021,3,125,125,125,124
2022,1,2141,2111,2111,0
2022,2,4962,4911,4935,0
2022,3,503,495,496,0
