group,slope,se,t_value,p_value,ci_lower,ci_upper,n_years,n_obs,index
"1st Generation
(Foreign-born)",0.021241439240086684,8.881455376811157e-4,23.91661989942162,2.3378980833954802e-122,0.019500673986231697,0.02298220449394167,7,8413,liberalism_index
"2nd Generation
(US-born, foreign parents)",-0.014308886430727448,0.001916968183867051,-7.4643317250380745,9.539416631730026e-14,-0.01806614407110687,-0.010551628790348029,7,6124,liberalism_index
"3rd+ Generation
(US-born, US-born parents)",-0.0068171646550786655,0.003210374452608432,-2.123479598942022,0.03390827045583071,-0.013109498582191192,-5.248307279661392e-4,5,1261,liberalism_index
"1st Generation
(Foreign-born)",0.006589024498564335,0.001210668458916917,5.442468125798023,5.405858643384094e-8,0.0042161143190871785,0.008961934678041492,7,8234,restrictionism_index
"2nd Generation
(US-born, foreign parents)",-0.007877179237371404,0.0020353001795442374,-3.8702788495480465,1.0990811815736703e-4,-0.011866367589278108,-0.003887990885464698,8,5783,restrictionism_index
"3rd+ Generation
(US-born, US-born parents)",0.0018317985326852875,0.0030067190088228046,0.6092350257240953,0.542476278584345,-0.00406137072460741,0.007724967789977984,5,1288,restrictionism_index
"1st Generation
(Foreign-born)",0.019445903659310558,0.002250848557787602,8.639365625923885,7.82053942044475e-18,0.015034240486046858,0.023857566832574256,3,4357,concern_index
"2nd Generation
(US-born, foreign parents)",-0.058274791079400395,0.0171871690364962,-3.390598588729559,7.745357190066707e-4,-0.09196164239093295,-0.024587939767867842,3,363,concern_index
"3rd+ Generation
(US-born, US-born parents)",NA,NA,NA,NA,NA,NA,NA,469,concern_index
All Hispanic Respondents,-2.082942215742081e-5,8.03515260020929e-4,-0.025922870658210362,0.9793190842497936,-0.0015957193317984416,0.0015540604874836,8,22867,liberalism_index
All Hispanic Respondents,-3.815782031105439e-5,8.154788880211383e-4,-0.046791916837539624,0.9626794623285649,-0.0016364964408324854,0.0015601808002103767,9,23904,restrictionism_index
All Hispanic Respondents,1.5582005813971733e-14,0.0018439002601651068,8.450568694304803e-12,0.9999999999932576,-0.003614044509908027,0.0036140445099391914,4,8168,concern_index
